year_aired,imdb,monster_real,title
2015,7.5,fake,Kitchen Frightmare
2015,7.5,fake,"Me, Myself, and A.I."
2015,7.4,fake,Area 51 Adjacent
2015,7.5,fake,"Where There's a Will, There's a Wraith"
2015,6.6,fake,Scooby-Doo! Knight Time Terror
2015,7.4,fake,Scary Christmas
2015,7.7,fake,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime"
2016,7.8,fake,Gremlin on a Plane
2016,7.9,fake,Sorcerer Snacks Scare
2016,8.2,fake,Saga of the Swamp Beast
2016,7.5,fake,"Be Cold, Scooby-Doo!"
2016,5.9,fake,LEGO Scooby-Doo! Haunted Hollywood
2016,7.4,fake,Giant Problems
2016,7.4,fake,Eating Crow
2016,6.2,fake,Scooby-Doo! and WWE: Curse of the Speed Demon
2017,6.8,fake,Scooby-Doo! Shaggy's Showdown
2017,7.2,fake,I Scooby Dooby Do
2017,7.6,fake,El Bandito
2017,7.2,fake,Into the Mouth Madcap
2017,7.3,fake,The Norse Case Scenario
2017,7.7,fake,The People vs. Fred Jones
2017,5.6,fake,LEGO Scooby-Doo! Blowout Beach Bash
2017,8.2,fake,Some Fred Time
2017,7.5,fake,There Wolf
2017,7.4,fake,Renn Scare
2017,7.6,fake,How to Train Your Coward
2017,7.1,fake,Worst in Show
2017,7.5,fake,Mysteries on the Disorient Express
2017,7.4,fake,Halloween
2017,7.5,fake,The Curse of Kaniaku
2017,6.6,fake,Vote Velma
2017,7.7,fake,Scroogey Doo
2017,8,fake,In Space
2017,7.9,fake,Doo Not Distrub
2017,7.4,fake,Silver Scream
2017,7.2,fake,Fright of Hand
2017,6.7,fake,Greece in the World
2018,6.6,fake,Batman: The Brave and the Bold: Bat-Mite Presents: Batman's Strangest Cases!
2018,7.1,fake,American Goth
2018,7.2,fake,Omelettes Are Forever
2018,7.4,fake,Ghost in the Mystery Machine
2018,7.4,fake,Naughty or Ice
2018,7.3,fake,Night of the Upsetting Shorts
2018,6.9,fake,Junkyard Dogs
2018,6.7,fake,Protein Titans 2
2018,6.9,fake,World of Witchcraft
2018,7.8,fake,Professor Huh? Part 1
2018,7.9,fake,Professor Huh? Part 6 3/4
2018,6.8,fake,Pizza O'Possumm's
2018,6.8,fake,The Curse of Half-Beard's Booty
2018,9.6,real,Scoobynatural
2018,7.3,fake,Scooby-Doo! and the Gourmet Ghost
2018,8.1,real,Monster Party
2019,6.5,fake,Scooby-Doo! and the Curse of the 13th Ghost
2019,7,fake,Revenge of the Swamp Monster
2019,7.9,fake,A Mystery Solving Gang Divided
2019,7.9,fake,Peebles' Pet Show of Terrible Terrors!
2019,8.1,fake,"Elementary, My Dear Shaggy!"
2019,5.7,fake,Scooby-Doo! Return to Zombie Island
2019,7.3,fake,Ollie Ollie In-Come Free!
2019,8.1,fake,The Scooby of a Thousand Faces!
2019,8.3,fake,The Cursed Cabinet of Professor Madds Markson
2019,6.5,fake,When Urkel-Bots Go Bad!
2019,7.5,fake,The Fastest Food Fiend!
2019,7.5,fake,Attack of the Weird Al-Osaurus!
2019,7.4,fake,"Now You Sia, Now You Don't!"
2019,7.4,fake,Quit Clowning!
2019,8.7,fake,"What a Night, for a Dark Knight"
2019,6.4,fake,Cartoon Feud
2020,5.7,fake,SCOOB!
2020,8.1,fake,The Nightmare Ghost of Psychic U!
2020,8.8,fake,"The Sword, the Fox and the Scooby-Doo!"
2020,7.9,fake,One Minuite Mysteries!
2020,8.1,fake,Hollywood Knights!
2020,7.8,fake,The New York Underground!
2020,7.7,fake,Fear the Fire Beast!
2020,8.2,fake,Too Many Dummies!
2020,7.6,fake,Dance Matron of Mayhem
2020,8.6,fake,The Wedding Witch of Wainsly Hall!
2020,7.9,fake,A Run Cycle Through Time!
2020,8.4,fake,I Put a Hex on You!
2020,7.6,fake,The High School Wolfman's Musical Lament!
2020,8.2,fake,Space Station Scooby
2020,6.3,fake,"Happy Halloween, Scooby-Doo!"
2020,6.2,fake,Scooby-Doo! The Sword and the Scoob
