id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
168,1,23,20.58569527,,,,,1,2,0,2,2,1,5000,3,1250,1250,2,10000,2,2507,2491.659668,2,,,,,,,,,,,21097.5,2,5769,5716.48291,2,,,,,,35,1,1,25,,
169,1,20,19.47665596,,,,,2,3,0,2,2,1,5000,4,864,867.5651855,2,10000,3,1830,1830,2,8045,3,1428,1428,1,,,,,,,,,,,,,,,,101,1,1,90,,
170,1,41,21.33333397,,,,,1,2,0,2,3,2,5000,3,1180,1180,3,,,,,,,,,,,,,,,,21097.5,4,6180,6362.328613,3,,,,,,15,1,1,40,,
171,1,34,23.80480194,1,1,1,1,2,5,1,2,2,1,,,,,,10000,3,3080,3080,3,,,,,,,,,,,21097.5,3,6756,6756,1,42195,2,16050,15958.54688,2,35,1,1,30,,
172,1,60,23.87511635,1,1,1,1,2,3,0,2,1,1,,,,,,10000,4,2769,2830.179932,2,,,,,,,,,,,21097.5,4,6150,6330.537109,2,42195,3,13767,13767,1,42,0,1,38,,
173,1,51,26.12132645,,,,,1,2,0,2,1,1,,,,,,10000,3,2701,2701,2,8045,4,2207,2305.008545,2,,,,,,21097.5,3,6121,6121,2,,,,,,29,0,0,25,,
174,1,40,31.39378166,,,,,2,3,1,2,2,1,,,,,,,,,,,,,,,,16090,2,7017,6715.140137,1,21097.5,2,9522.5,9380.254883,1,,,,,,30,1,1,25,,
175,1,25,20.81165504,,,,,2,3,1,2,1,1,,,,,,10000,3,3294,3294,2,,,,,,,,,,,21097.5,4,7000,7234.842773,2,,,,,,20,0,0,17,,
176,1,24,23.00785828,,,,,2,3,0,1,3,1,,,,,,10000,3,2637,2637,2,,,,,,,,,,,21097.5,3,5708,5708,2,,,,,,37,0,1,30,,
177,1,27,22.3776226,,,,,2,3,1,2,2,1,5000,3,1462,1462,2,,,,,,,,,,,,,,,,21097.5,3,7009,7009,2,,,,,,28,0,1,22,,
178,1,36,24.55106735,,,,,3,8,0,1,2,2,5000,4,1015,1019.923767,2,,,,,,,,,,,16090,3,3660,3660,2,,,,,,,,,,,75,1,1,50,,
