state,region,date,cases.100k,deaths.100k
ME,Northeast,2021-07-28,4.836787590120457,0.15997157399231082
ME,Northeast,2021-07-29,5.523724349028615,0.11292111105339588
ME,Northeast,2021-07-30,5.57077481196753,0.07528074070226393
ME,Northeast,2021-07-31,5.918948237715501,0.08469083329004691
ME,Northeast,2021-08-01,5.260241756570691,0.02823027776334897
ME,Northeast,2021-08-02,5.260241756570691,0.02823027776334897
ME,Northeast,2021-08-03,7.659815366455354,0.02823027776334897
ME,Northeast,2021-08-04,7.226951107417336,0.01882018517556598
ME,Northeast,2021-08-05,8.045629162554457,0.00941009258778299
ME,Northeast,2021-08-06,8.28088147724903,0.00941009258778299
ME,Northeast,2021-08-07,8.789026476989314,0.01882018517556598
ME,Northeast,2021-08-08,7.932708051501061,0.00941009258778299
ME,Northeast,2021-08-09,7.932708051501061,0.00941009258778299
ME,Northeast,2021-08-10,11.32975147569072,0.00941009258778299
ME,Northeast,2021-08-11,10.972167957354966,0.00941009258778299
ME,Northeast,2021-08-12,11.997868049423312,0.02823027776334897
ME,Northeast,2021-08-13,12.59070388245364,0.03764037035113196
ME,Northeast,2021-08-14,12.99533786372831,0.03764037035113196
ME,Northeast,2021-08-15,11.442672586744116,0.02823027776334897
ME,Northeast,2021-08-16,11.442672586744116,0.02823027776334897
ME,Northeast,2021-08-17,14.971457307162737,0.05646055552669794
ME,Northeast,2021-08-18,13.37174156723963,0.07528074070226393
ME,Northeast,2021-08-19,13.042388326667224,0.1882018517556598
ME,Northeast,2021-08-20,12.571883697278075,0.17879175916787682
ME,Northeast,2021-08-21,12.477782771400244,0.1882018517556598
ME,Northeast,2021-08-22,10.708685364897043,0.1882018517556598
ME,Northeast,2021-08-23,10.708685364897043,0.1882018517556598
ME,Northeast,2021-08-24,14.124548974262268,0.1882018517556598
ME,Northeast,2021-08-25,13.296460826537364,0.17879175916787682
ME,Northeast,2021-08-26,15.16906925150618,0.15997157399231082
ME,Northeast,2021-08-27,15.968927121467734,0.06587064811448093
ME,Northeast,2021-08-28,18.13324841665782,0.07528074070226393
ME,Northeast,2021-08-29,16.20417943616231,0.05646055552669794
ME,Northeast,2021-08-30,16.20417943616231,0.05646055552669794
ME,Northeast,2021-08-31,20.673973415359228,0.07528074070226393
MD,South,2020-04-01,5.594476329303001,0.259805402289613
MD,South,2020-04-02,5.793660471058371,0.15588324137376783
MD,South,2020-04-03,6.327704909098131,0.13856288122112695
MD,South,2020-04-04,6.334921725828398,0.15588324137376783
MD,South,2020-04-05,6.744548243438354,0.1732036015264087
MD,South,2020-04-06,6.879069707290532,0.21361777521590408
MD,South,2020-04-07,6.7029793790720165,0.2127929961610164
MD,South,2020-04-08,6.7029793790720165,0.22949477202249152
MD,South,2020-04-09,7.526933654904789,0.22949477202249152
MD,South,2020-04-10,8.608218995862511,0.2944461225948948
MD,South,2020-04-11,9.348045808096742,0.35723242814821793
MD,South,2020-04-12,9.753837103101471,0.3940381934725798
MD,South,2020-04-13,10.315511639479968,0.4200187337015411
MD,South,2020-04-14,10.562945355946269,0.45465945400682284
MD,South,2020-04-15,11.300297831015836,0.4899187586032703
MD,South,2020-04-16,11.522369591544338,0.5542515248845078
MD,South,2020-04-17,11.812485624101074,0.6037382681777674
MD,South,2020-04-18,11.715058598242468,0.6210586283304083
MD,South,2020-04-19,11.253904009178404,0.5690975478724857
MD,South,2020-04-20,11.9618737304176,0.5814692336958006
MD,South,2020-04-21,11.52886472660158,0.6903400689409718
MD,South,2020-04-22,11.626291752460183,0.7051860919289498
MD,South,2020-04-23,12.36024201392834,0.7252900813918364
MD,South,2020-04-24,12.648193001465994,0.7339502614681569
MD,South,2020-04-25,13.429774253353914,0.8248821522695214
MD,South,2020-04-26,13.607307944918483,0.8140569271741209
MD,South,2020-04-27,14.466830817493287,0.8595228725748032
MD,South,2020-04-28,13.9645403730667,0.9396295382807672
MD,South,2020-04-29,14.464665772474206,0.9223091781281263
MD,South,2020-04-30,15.1185093682364,0.954784853414328
MD,South,2020-05-01,16.802914393080723,0.9612799884715683
MD,South,2020-05-02,17.049729525255856,0.9807653936432893
MD,South,2020-05-03,16.7076524122412,0.8790082777465241
MD,South,2020-05-04,16.984778174683452,0.8811733227656042
MD,South,2020-05-05,16.54743908082927,0.9634450334906484
MD,South,2020-05-06,17.456757988842917,0.9244742231472064
MD,South,2020-05-07,18.476494192829648,0.9201441331090462
MD,South,2020-05-08,18.980949682275313,0.9114839530327258
MD,South,2020-05-09,17.476243394014638,0.9136489980518059
MD,South,2020-05-10,17.590990780025884,0.8508626924984827
MD,South,2020-05-11,17.151486641152623,0.8703480976702037
MD,South,2020-05-12,16.595070071249033,0.9504547633761677
MD,South,2020-05-13,16.692497097107637,0.9071538629945656
MD,South,2020-05-14,16.796419258023484,0.915814043070886
MD,South,2020-05-15,16.51712845056215,0.8833383677846843
MD,South,2020-05-16,16.218352237929093,0.8595228725748032
MD,South,2020-05-17,15.765857828941352,0.8183870172122811
MD,South,2020-05-18,15.564508642166901,0.8205520622313612
MD,South,2020-05-19,17.71223330109437,0.8616879175938833
MD,South,2020-05-20,17.90059221775434,0.7945715220023999
MD,South,2020-05-21,18.874862476340386,0.757765756678038
MD,South,2020-05-22,18.441853472524365,0.7382803515063171
MD,South,2020-05-23,18.409377797238164,0.7187949463345961
MD,South,2020-05-24,19.13033778859184,0.6928144061056348
MD,South,2020-05-25,19.126007698553682,0.6711639559148337
MD,South,2020-05-26,18.203698520425554,0.6711639559148337
MD,South,2020-05-27,15.973702150773041,0.6733290009339138
MD,South,2020-05-28,17.08653529058022,0.6603387308194332
MD,South,2020-05-29,17.29004952237375,0.6646688208575934
MD,South,2020-05-30,17.586660689987724,0.6538435957621929
MD,South,2020-05-31,16.99127330974069,0.6256980105141514
MD,South,2020-06-01,15.406460355774053,0.5953873802470299
MD,South,2020-06-02,15.32202360002993,0.638688280628632
MD,South,2020-06-03,15.863284854799957,0.6668338658766735
MD,South,2020-06-04,16.12525530210865,0.59755242526611
MD,South,2020-06-05,15.313363419953609,0.5932223352279498
MD,South,2020-06-06,14.003511183410144,0.5932223352279498
MD,South,2020-06-07,12.840882008164124,0.519610804579226
MD,South,2020-06-08,12.054970666238045,0.5282709846555466
MD,South,2020-06-09,11.92506796509324,0.5607466599417481
MD,South,2020-06-10,11.437932835800215,0.5347661197127869
MD,South,2020-06-11,11.271224369331046,0.5066205344647454
MD,South,2020-06-12,10.331594831050278,0.5022904444265852
MD,South,2020-06-13,9.803323846394733,0.48497008427394434
MD,South,2020-06-14,9.15597538568978,0.43084395879694165
MD,South,2020-06-15,8.79008277746524,0.42867891377786155
MD,South,2020-06-16,8.616879175938832,0.44599927393050237
MD,South,2020-06-17,8.707811066740197,0.4005333285298201
MD,South,2020-06-18,8.064792696073406,0.3723877432817787
MD,South,2020-06-19,7.2031047784795215,0.33558197795741684
MD,South,2020-06-20,7.151143698021599,0.32908684290017653
MD,South,2020-06-21,6.425853616629762,0.30310630267121524
MD,South,2020-06-22,6.222339384836232,0.2922810775758147
MD,South,2020-06-23,6.3847177612672406,0.31393152776661576
MD,South,2020-06-24,6.343581905904719,0.2727956724040937
MD,South,2020-06-25,6.1314074940348675,0.28795098753765447
MD,South,2020-06-26,6.2028539796645115,0.2727956724040937
MD,South,2020-06-27,6.239659744988873,0.2749607174231738
MD,South,2020-06-28,6.051300828328904,0.2511452222132926
MD,South,2020-06-29,6.352242085981039,0.23598990707973186
MD,South,2020-06-30,6.38688280628632,0.2511452222132926
MD,South,2020-07-01,6.278630555332315,0.24465008715605227
MD,South,2020-07-02,6.670503703785815,0.22516468198433132
MD,South,2020-07-03,6.549261182717329,0.20351423179353023
MD,South,2020-07-04,6.538435957621928,0.20351423179353023
MD,South,2020-07-05,6.332756680809318,0.18619387164088935
MD,South,2020-07-06,6.791746224854301,0.16887351148824847
MD,South,2020-07-07,6.817726765083262,0.1970190967362899
MD,South,2020-07-08,7.151143698021599,0.18402882662180925
MD,South,2020-07-09,7.653434142448185,0.17969873658364902
MD,South,2020-07-10,7.5516770265514195,0.1970190967362899
MD,South,2020-07-11,7.876433779413436,0.18835891665996946
MD,South,2020-07-12,8.619044220957912,0.17969873658364902
MD,South,2020-07-13,9.021742594506813,0.1775336915645689
MD,South,2020-07-14,9.394130337788592,0.19052396167904956
MD,South,2020-07-15,9.9375566375777,0.16237837643100816
MD,South,2020-07-16,10.35324528124108,0.15588324137376783
